dz,989
wcz,124
nk,190
wk,90
chstr,14
ch,659
st,957
chn,88
gł,113
chst,16
wd,72
jgr,7
spł,8
zm,96
łt,38
łk,63
wp,123
sk,310
dw,103
ddrzw,3
dn,409
zn,306
chtrz,5
rb,24
dr,130
chł,48
cgr,1
jg,12
rz,444
cprz,6
ds,34
pl,67
kr,198
lk,138
cb,4
kzk,2
czk,44
ww,38
zr,64
zp,121
rt,182
skrz,10
dł,70
kzdł,2
wł,80
łn,99
drz,11
śn,97
wsp,63
chpl,2
chgr,9
prz,551
ws,33
tk,129
mkw,4
czt,19
chp,50
żcz,76
zw,166
dk,95
śr,37
dwzb,1
jf,10
kl,58
mwr,4
zzps,1
mw,45
chs,27
mwb,3
czn,322
zk,68
rw,59
mk,44
cwk,5
chg,6
gl,69
chsp,11
cz,727
sn,76
chwtr,1
kc,25
zd,80
rf,5
ng,35
wch,8
chm,38
rn,124
wz,55
wh,9
śt,13
wc,85
jz,32
jprz,11
chr,41
cwc,2
mn,163
mz,59
mstr,18
zj,67
żdż,23
dm,49
żn,131
sp,211
sf,14
lc,22
mm,61
br,136
sb,5
tr,144
sm,16
kł,64
sz,350
pt,20
mdz,7
mst,18
brz,25
jw,59
ść,40
bgr,1
wkr,6
wb,33
rdz,99
kn,77
trz,180
znwtr,1
jn,162
śm,81
ck,69
chzg,2
wt,79
stw,39
ps,11
kst,13
str,111
łw,29
czw,10
rk,84
znb,1
dg,7
nz,22
sch,13
chzr,1
kk,23
zc,20
sł,161
cwp,2
bl,91
nn,183
chl,33
jk,41
rtc,3
zdz,6
mwn,6
rg,66
cwr,1
kb,24
nkn,1
czj,2
ńcz,38
jzj,5
ln,279
szd,3
czł,42
kwn,2
krz,18
chwśr,1
chwł,6
chzgrz,1
gr,168
lb,19
zz,24
mkn,11
wstr,9
wn,333
sgr,1
śpl,1
kwcz,2
pc,24
zkt,8
wgr,7
ńw,6
ks,82
cs,15
wm,41
mcz,19
ms,54
cj,293
cwstr,2
bprz,4
chprz,33
chwsp,2
śc,316
nc,59
chc,37
mprz,29
chb,19
lt,29
cwsp,3
chk,34
chzj,2
kzn,3
mb,48
nw,32
jśn,2
ktr,10
chdz,8
kw,48
db,23
kzgr,1
chsk,6
żk,25
bs,21
lcz,18
sc,36
cn,50
mp,109
sw,58
dzł,1
mdrz,1
jcz,20
rzch,3
gn,73
jchł,1
wsł,6
żw,9
wr,101
zśw,2
tl,14
jm,72
kcz,8
dt,31
cp,9
dp,71
jst,8
żtrz,2
zpł,4
szcz,130
tsk,1
chcz,14
