cluster,occurences_en,length
fl,304,2
ms,198,2
msm,7,3
sm,414,2
tl,514,2
gr,797,2
vd,230,2
kt,986,2
gz,201,2
nd,4591,2
ndð,357,3
dð,898,2
nt͡s,241,2
nt͡sm,7,3
t͡sm,46,2
lt͡ʃ,51,2
nw,586,2
sl,300,2
tð,1127,2
vð,729,2
tr,1753,2
st,4599,2
ns,1641,2
sk,889,2
zn,376,2
kt͡ʃ,115,2
sð,199,2
ls,423,2
lst,77,3
dp,230,2
nz,1010,2
nð,1307,2
fj,230,2
ŋk,665,2
lh,189,2
vn,102,2
nm,338,2
lf,295,2
nt,3873,2
mg,83,2
ŋt,405,2
mw,196,2
tk,402,2
mm,60,2
tn,314,2
vg,110,2
sf,213,2
sfr,24,3
fr,789,2
mð,201,2
ntp,40,3
ntpl,9,4
tp,275,2
tpl,45,3
pl,947,2
lb,279,2
tt,820,2
zh,412,2
ŋθ,63,2
ŋθr,32,3
θr,356,2
ps,249,2
nj,571,2
pð,101,2
nl,377,2
nt͡ʃ,170,2
t͡sb,40,2
t͡sbr,5,3
br,515,2
kl,634,2
vdl,1,3
dl,307,2
stw,107,3
tw,1163,2
ln,109,2
ng,122,2
dm,363,2
nsð,21,3
nzh,45,3
fd,8,2
zt,381,2
td,471,2
dr,736,2
ndd,92,3
nddr,17,4
dd,200,2
ddr,31,3
ŋz,270,2
sp,891,2
zp,270,2
lj,189,2
tf,477,2
nv,153,2
vr,277,2
nk,393,2
dh,425,2
bs,71,2
lð,269,2
td͡ʒ,58,2
nd͡ʒ,372,2
stt,129,3
nh,401,2
zm,281,2
nf,436,2
nfl,39,3
stl,57,3
nds,227,3
ds,505,2
tj,440,2
nθ,95,2
zb,342,2
t͡sf,51,2
lt,483,2
lth,4,3
th,577,2
ndh,178,3
nb,305,2
sh,104,2
ntt,226,3
dpr,50,3
pr,928,2
ntl,129,3
ŋm,157,2
vw,120,2
mp,710,2
ks,1381,2
fn,11,2
ndz,22,3
ndzf,3,4
dz,85,2
dzf,7,3
zf,329,2
md,166,2
ss,169,2
ssm,2,3
ðz,21,2
ðzð,2,3
zð,533,2
vl,99,2
ntr,224,3
nzb,36,3
bd͡ʒ,21,2
vh,145,2
df,336,2
dfr,60,3
ndm,109,3
stm,63,3
tm,518,2
ŋt͡ʃ,25,2
ts,1013,2
vj,215,2
ksk,29,3
kskj,8,4
skj,23,3
kj,236,2
mz,393,2
mzn,6,3
fk,20,2
db,510,2
mb,299,2
bl,555,2
kn,56,2
ðp,28,2
vgr,15,3
ndk,116,3
ndkr,15,4
dk,252,2
dkr,29,3
kr,683,2
nsw,29,3
sw,419,2
ŋb,161,2
dt,713,2
dd͡ʒ,53,2
ld,1371,2
ldj,30,3
dj,433,2
np,237,2
ft,388,2
lr,159,2
ltd,2,3
sb,133,2
nbr,33,3
ntw,110,3
t͡ʃð,29,2
st͡s,113,2
st͡sb,4,3
ŋs,159,2
gn,67,2
nst,358,3
t͡sw,97,2
lθ,69,2
kð,197,2
zʃ,107,2
vm,224,2
mf,125,2
stb,70,3
tb,500,2
sg,61,2
zd,480,2
zdt,62,3
zw,474,2
ðθ,4,2
vz,162,2
vb,147,2
mfr,29,3
nd͡z,229,2
ŋg,287,2
ŋgl,61,3
gl,179,2
ʃm,50,2
nkl,61,3
fð,55,2
tsl,25,3
skt,91,3
sr,71,2
nzp,33,3
kw,492,2
lθr,15,3
kʃ,197,2
tsp,40,3
tspl,2,4
spl,84,3
ldf,29,3
ndp,118,3
ndpr,21,4
ðf,17,2
vp,158,2
vpr,17,3
sktð,20,4
ktð,48,3
ŋj,48,2
θw,21,2
ðt͡ʃ,10,2
ll,100,2
ldt,27,3
ndf,116,3
ndfj,2,4
dfj,3,3
ldr,128,3
ðt,27,2
nʃ,194,2
t͡ss,56,2
dw,595,2
ðpl,4,3
zr,198,2
znj,14,3
ndb,136,3
ŋd,102,2
ŋr,66,2
mr,41,2
str,583,3
kb,81,2
ldm,84,3
ftθ,1,3
ftθr,1,4
tθ,100,2
tθr,29,3
d͡ʒh,14,2
mt,198,2
zg,176,2
ldh,48,3
ntn,97,3
md͡ʒ,20,2
stf,64,3
ndt,159,3
t͡ʃt,102,2
nfr,116,3
mh,89,2
mdt,27,3
ndj,85,3
nbl,32,3
psl,4,3
ntð,62,3
lm,257,2
kss,20,3
kssp,4,4
ssp,20,3
dst,99,3
bt,9,2
mθ,145,2
ŋbr,8,3
zt͡ʃ,36,2
ðs,53,2
sd,74,2
ltf,8,3
tsð,35,3
vt,190,2
ntb,99,3
d͡zj,4,2
dn,229,2
ndr,159,3
t͡ʃm,27,2
bz,71,2
ndl,104,3
dzk,4,3
zk,306,2
lw,401,2
ksl,24,3
vk,125,2
nkw,19,3
dv,78,2
d͡ʒt,28,2
mpl,109,3
lk,334,2
ftw,15,3
ktm,17,3
kt͡s,47,2
lʃ,33,2
dsp,33,3
mpr,68,3
spr,78,3
lp,255,2
skw,34,3
nkr,50,3
ktt,17,3
pt,373,2
sth,65,3
ntj,102,3
mk,68,2
tt͡ʃ,36,2
zs,449,2
ðð,138,2
tfr,65,3
ŋð,353,2
nzj,10,3
zj,146,2
ntf,81,3
tg,187,2
t͡st,70,2
dkw,13,3
t͡ssn,1,3
sn,166,2
pw,65,2
mst,23,3
