fl,304
ms,198
msm,7
sm,414
tl,514
gr,797
vd,230
kt,986
gz,201
nd,4591
ndð,357
dð,898
nt͡s,241
nt͡sm,7
t͡sm,46
lt͡ʃ,51
nw,586
sl,300
tð,1127
vð,729
tr,1753
st,4599
ns,1641
sk,889
zn,376
kt͡ʃ,115
sð,199
ls,423
lst,77
dp,230
nz,1010
nð,1307
fj,230
ŋk,665
lh,189
vn,102
nm,338
lf,295
nt,3873
mg,83
ŋt,405
mw,196
tk,402
mm,60
tn,314
vg,110
sf,213
sfr,24
fr,789
mð,201
ntp,40
ntpl,9
tp,275
tpl,45
pl,947
lb,279
tt,820
zh,412
ŋθ,63
ŋθr,32
θr,356
ps,249
nj,571
pð,101
nl,377
nt͡ʃ,170
t͡sb,40
t͡sbr,5
br,515
kl,634
vdl,1
dl,307
stw,107
tw,1163
ln,109
ng,122
dm,363
nsð,21
nzh,45
fd,8
zt,381
td,471
dr,736
ndd,92
nddr,17
dd,200
ddr,31
ŋz,270
sp,891
zp,270
lj,189
tf,477
nv,153
vr,277
nk,393
dh,425
bs,71
lð,269
td͡ʒ,58
nd͡ʒ,372
stt,129
nh,401
zm,281
nf,436
nfl,39
stl,57
nds,227
ds,505
tj,440
nθ,95
zb,342
t͡sf,51
lt,483
lth,4
th,577
ndh,178
nb,305
sh,104
ntt,226
dpr,50
pr,928
ntl,129
ŋm,157
vw,120
mp,710
ks,1381
fn,11
ndz,22
ndzf,3
dz,85
dzf,7
zf,329
md,166
ss,169
ssm,2
ðz,21
ðzð,2
zð,533
vl,99
ntr,224
nzb,36
bd͡ʒ,21
vh,145
df,336
dfr,60
ndm,109
stm,63
tm,518
ŋt͡ʃ,25
ts,1013
vj,215
ksk,29
kskj,8
skj,23
kj,236
mz,393
mzn,6
fk,20
db,510
mb,299
bl,555
kn,56
ðp,28
vgr,15
ndk,116
ndkr,15
dk,252
dkr,29
kr,683
nsw,29
sw,419
ŋb,161
dt,713
dd͡ʒ,53
ld,1371
ldj,30
dj,433
np,237
ft,388
lr,159
ltd,2
sb,133
nbr,33
ntw,110
t͡ʃð,29
st͡s,113
st͡sb,4
ŋs,159
gn,67
nst,358
t͡sw,97
lθ,69
kð,197
zʃ,107
vm,224
mf,125
stb,70
tb,500
sg,61
zd,480
zdt,62
zw,474
ðθ,4
vz,162
vb,147
mfr,29
nd͡z,229
ŋg,287
ŋgl,61
gl,179
ʃm,50
nkl,61
fð,55
tsl,25
skt,91
sr,71
nzp,33
kw,492
lθr,15
kʃ,197
tsp,40
tspl,2
spl,84
ldf,29
ndp,118
ndpr,21
ðf,17
vp,158
vpr,17
sktð,20
ktð,48
ŋj,48
θw,21
ðt͡ʃ,10
ll,100
ldt,27
ndf,116
ndfj,2
dfj,3
ldr,128
ðt,27
nʃ,194
t͡ss,56
dw,595
ðpl,4
zr,198
znj,14
ndb,136
ŋd,102
ŋr,66
mr,41
str,583
kb,81
ldm,84
ftθ,1
ftθr,1
tθ,100
tθr,29
d͡ʒh,14
mt,198
zg,176
ldh,48
ntn,97
md͡ʒ,20
stf,64
ndt,159
t͡ʃt,102
nfr,116
mh,89
mdt,27
ndj,85
nbl,32
psl,4
ntð,62
lm,257
kss,20
kssp,4
ssp,20
dst,99
bt,9
mθ,145
ŋbr,8
zt͡ʃ,36
ðs,53
sd,74
ltf,8
tsð,35
vt,190
ntb,99
d͡zj,4
dn,229
ndr,159
t͡ʃm,27
bz,71
ndl,104
dzk,4
zk,306
lw,401
ksl,24
vk,125
nkw,19
dv,78
d͡ʒt,28
mpl,109
lk,334
ftw,15
ktm,17
kt͡s,47
lʃ,33
dsp,33
mpr,68
spr,78
lp,255
skw,34
nkr,50
ktt,17
pt,373
sth,65
ntj,102
mk,68
tt͡ʃ,36
zs,449
ðð,138
tfr,65
ŋð,353
nzj,10
zj,146
ntf,81
tg,187
t͡st,70
dkw,13
t͡ssn,1
sn,166
pw,65
mst,23
θð,7
tʃ,139
dʃ,95
tsm,12
ŋkʃ,36
t͡ʃw,46
lds,30
ldsm,1
dsm,14
lz,572
lfl,6
ŋw,211
nr,187
ndw,249
tgr,31
ssk,9
nth,100
nn,124
stk,60
lzl,11
zl,255
ŋgr,34
ŋh,130
gj,34
vzg,2
dpl,43
nd͡zh,9
d͡zh,21
ndsl,6
dsl,9
ktl,49
mj,157
kf,107
nstl,1
ndg,58
ndgr,15
dg,120
dgr,26
npr,32
ldð,67
lv,110
skl,24
ŋsk,13
dls,1
