cluster,occurences
ft͡ʃ,138
nk,188
fk,141
xs,69
xst,27
xstr,13
st,1523
str,167
tr,371
ɣn,56
gw,149
vd,84
gr,193
sp,549
spw,10
pw,95
zm,110
wt,44
wk,59
fp,202
sk,672
dv,139
dd,61
ddʒ,5
ddʒv,3
dʒ,49
dʒv,16
ʒv,118
dn,175
zɲ,54
xt,27
xtʃ,5
tʃ,281
rb,20
dr,179
ɣw,56
d͡zg,5
d͡zgr,1
ŋt͡s,311
ŋt͡sp,10
ŋt͡spʃ,2
t͡sp,18
t͡spʃ,6
pʃ,690
ts,92
pl,87
kr,224
lk,117
ŋd͡z,112
ŋd͡zb,4
d͡zb,7
ks,84
ksk,2
t͡ʃk,72
vv,39
zr,70
rt,168
skʃ,15
kʃ,143
dw,94
gz,44
gzd,3
gzdw,2
zd,181
zdw,3
vw,105
wn,58
ʃn,56
fs,246
fsp,82
xp,83
xpl,2
ɣg,17
ɣgr,8
fʃ,179
tk,296
dz,33
mk,68
mkf,4
kf,57
t͡ʃt,44
ʃt͡ʃ,601
zn,269
zv,209
ŋt,153
ŋtk,29
ʃr,61
dvz,1
dvzb,1
vz,76
vzb,2
zb,99
kl,76
mv,68
mvr,4
vr,129
ss,36
ssp,6
ssps,1
sps,3
ps,56
xʃ,20
mvb,3
vb,49
t͡ʃn,220
rv,80
t͡sf,22
t͡sfk,7
gl,80
xsp,16
sn,68
xf,24
xft,2
xftr,1
ft,99
ftr,10
kt͡ʃ,17
rf,42
ng,46
vɣ,21
ɣm,38
rn,79
vʒ,29
ʃt,78
ft͡s,64
ɣr,39
ŋk,110
t͡sft͡ʃ,2
mn,84
mʒ,16
ms,90
mst,32
mstr,18
zj,71
ʒd͡ʒ,67
dm,41
ʃɲ,109
sf,103
lt͡ʃ,18
mm,57
mz,81
br,147
sm,21
kw,77
pt,21
md͡ʒ,7
bʒ,30
bg,2
bgr,1
fkr,12
rd͡ʒ,40
kn,68
znf,2
znft,1
znftr,1
nf,47
nft,2
nftr,1
ʃm,104
ɣɲ,32
t͡sk,80
ɣz,52
ɣzg,4
zg,95
stf,116
tf,245
kst,15
wv,35
d͡ʒv,55
rk,77
znb,1
nb,8
dg,24
nz,30
zɣ,42
ɣzr,1
kk,27
ŋd,156
ŋt͡sf,8
ŋt͡sfk,3
st͡ʃ,19
sw,163
ŋt͡sfp,1
t͡sfp,2
bl,100
nn,107
ɣl,35
rtt͡s,3
tt͡s,17
zd͡ʒ,7
mvn,2
vn,157
rg,55
ŋd͡zv,8
ŋd͡zvr,2
d͡zv,25
d͡zvr,2
gb,28
nkn,1
lt͡s,17
d͡zz,16
d͡zzj,1
ɲt͡ʃ,124
lɲ,59
zz,40
zzd,1
t͡ʃw,38
gv,42
gvɲ,2
vɲ,150
xfʃ,2
xfʃr,1
fʃr,17
ɣv,78
ɣvw,6
ɣzgʒ,1
zgʒ,3
gʒ,24
lb,19
mkɲ,4
kɲ,26
fst,53
fstr,11
zgr,13
ʃp,74
ʃpl,1
kft͡ʃ,4
pt͡s,25
skt,6
kt,380
vg,20
vgr,6
ɲv,9
ŋt͡sʃ,12
t͡sʃ,13
vm,43
mt͡ʃ,27
t͡sj,324
ŋt͡sfs,1
ŋt͡sfst,1
ŋt͡sfstr,1
t͡sfs,5
t͡sfst,2
t͡sfstr,2
pp,12
ppʃ,4
xpʃ,29
dɲ,178
xfs,4
xfsp,3
nt͡s,80
xt͡ʃ,33
mp,251
mpʃ,27
ɣb,20
rd͡z,47
lt,30
t͡sfsp,3
xk,40
ɣzj,2
gzn,2
mb,77
nv,32
t͡ʃɲ,82
ktr,10
ɣd͡ʒ,8
db,39
gzg,2
gzgr,1
xsk,12
ʃk,113
st͡s,96
ŋt͡sn,8
t͡sn,26
dzw,1
zw,54
md,47
mdʒ,1
ʒɣ,12
gɲ,37
gn,34
fsw,9
zʒ,9
zʒv,1
tl,16
tt,71
tp,128
ʃtʃ,2
tsk,8
rtk,7
ʒr,8
gd͡ʒ,29
kv,3
kfk,9
ŋg,62
ŋgɲ,15
vdr,11
ŋt͡sr,6
t͡sr,9
xskʃ,2
ŋd͡zvd,2
ŋd͡zvdm,1
d͡zvd,2
d͡zvdm,1
vdm,1
pst,11
dl,103
kp,37
kpw,1
mw,32
rt͡s,29
ŋt͡ʃ,61
mbn,2
bn,22
km,19
ŋd͡zz,13
ʃl,105
tst͡ʃ,1
ɣj,17
vd͡ʒ,24
tʃt͡ʃ,2
zdj,7
dj,29
ws,17
wst,3
fpw,18
pk,33
t͡ʃkr,3
ŋt͡sk,5
d͡ʒz,37
gvʒ,1
tʃɲ,2
ʃt͡ʃn,5
tt͡ʃ,44
fsk,69
mbɲ,1
bɲ,22
vl,25
tɲ,81
spr,89
pr,540
gd,85
lf,5
sst,4
ŋd͡zd,9
d͡zd,12
t͡ss,14
t͡sst,3
rs,71
rsk,22
lbw,1
bw,17
rʃ,34
nd,88
skf,5
ttʃ,3
ŋd͡zɣ,2
d͡zɣ,3
dbr,2
mbʒ,1
znz,1
ns,113
nst,26
nstr,10
nt,243
ddv,1
mpt͡s,3
msp,12
ssk,3
wɲ,36
ɲd͡ʒ,85
t͡st,21
t͡stʃ,1
tn,71
d͡zvb,3
ŋd͡zdr,1
d͡zdr,1
zdr,28
spl,5
nsp,16
ŋd͡zdw,1
d͡zdw,1
ɲp,7
ɲpʃ,1
ddr,3
ʒn,55
spʃ,36
sft,2
sftf,1
ftf,5
ʒd,44
ʒdr,1
vbl,5
d͡ʒb,21
xpt,1
ɣɣ,12
ɣɣw,4
d͡zvbl,1
ɣd,33
ɣdr,3
ʒɲ,50
znp,1
znpw,1
np,26
npw,1
ɣʒ,18
gʒb,1
ʒb,21
t͡sst͡ʃ,1
rd,34
dbʒ,1
gbr,2
kfp,4
gzj,1
ŋt͡ss,8
ŋt͡ssk,1
t͡ssk,3
mpw,2
rt͡ʃ,47
rst,28
rstf,23
mzj,1
ŋd͡zd͡ʒ,2
d͡zd͡ʒ,3
ʃt͡ʃm,6
ʃt͡ʃmw,1
t͡ʃm,26
t͡ʃmw,1
nm,6
znfs,1
znfsp,1
nfs,3
nfsp,1
gvl,1
fpʃ,28
ŋt͡st,2
ŋt͡sw,1
t͡sw,6
bv,9
bvj,1
vj,30
kst͡ʃ,1
ŋtn,6
ɲk,3
mɣ,11
mt,56
ŋt͡sj,5
skr,17
tʃm,1
fkt,17
zbr,8
kʃt͡ʃ,4
mbw,2
znv,1
znvb,1
nvb,2
sj,47
nɲ,43
kkʃ,1
ʃt͡ʃk,4
t͡sskf,1
msk,13
mf,34
rj,16
ndl,8
kj,22
zvr,12
zɣw,2
zvw,13
ls,70
st͡ʃt,1
rtt,1
t͡ʃj,22
mɲ,91
rp,26
rpr,3
t͡ʃtr,2
rm,95
t͡sɲ,17
ʃs,21
ʃsp,5
stk,69
lsk,50
sr,7
rw,11
mʃ,43
kt͡s,50
kt͡sj,38
t͡ʃp,60
t͡ʃpʃ,11
ʃpr,5
d͡ʒzd͡ʒ,1
msf,3
mr,44
xsw,1
lst͡s,11
t͡ʃf,19
kpʃ,9
ntn,2
stɲ,22
ʒd͡ʒz,7
vd͡ʒm,1
d͡ʒm,1
d͡ʒʒ,8
d͡ʒzn,2
ndr,3
wʃ,85
rmr,1
lm,17
xt͡s,23
mskr,3
ltr,2
ltrv,1
trv,13
mpn,13
pn,17
mfs,5
mfst,2
mfstʃ,1
fstʃ,10
stʃ,53
ŋdɲ,8
stfp,4
tfp,6
wvr,3
ɣvʒ,1
ɲt͡ʃf,1
ɲt͡ʃfp,1
t͡ʃfp,6
gbw,1
wtʃ,1
ntk,3
nfl,2
fl,15
kts,3
ktsp,1
ktspr,1
tsp,7
tspr,2
trk,1
ɣvn,1
bɣ,9
dzn,3
ft͡ʃt͡ʃ,2
t͡ʃt͡ʃ,22
ɲs,103
ɲst,50
ɲstf,50
rwʃ,1
d͡zzm,1
ŋtp,9
ŋtpr,2
tpr,13
ln,179
lj,5
ʒd͡ʒzɲ,2
d͡ʒzɲ,2
ngl,2
t͡ʃt͡s,7
npr,5
lg,15
rɲ,40
tpw,3
ɲt͡s,38
mg,16
mgl,1
mmɲ,3
zɣm,1
nt͡ʃ,21
fr,32
nɣ,4
wd͡ʒ,5
rst͡ʃ,1
wz,46
wzb,3
lgj,2
gj,18
nt͡sj,41
ndj,3
ŋtɲ,6
wp,41
wpr,10
gwf,1
gwfp,1
wf,16
wfp,4
wg,14
ktm,1
tm,23
rpʃ,3
gg,13
ggr,2
wsw,1
t͡ʃl,7
mt͡ʃt,2
gwp,2
gwpʃ,2
wpʃ,10
ml,14
mlz,1
lz,6
tkn,5
ɣzn,3
ɲsk,50
ɲst͡s,2
tkʃ,3
tkʃt,3
kʃt,9
zzr,1
mʃn,1
sʃ,18
ʃspr,1
gwb,9
wb,22
rʒ,9
rvm,1
ʃt͡ʃs,9
t͡ʃs,50
mj,35
dzm,2
ntm,4
ʒd͡ʒd,6
d͡ʒd,31
nzd,2
wj,27
zdʒ,5
zdʒʒ,1
zdʒʒv,1
dʒʒ,1
dʒʒv,1
ʒʒ,4
ʒʒv,1
ksp,20
swt,1
nzv,3
skl,4
xtr,2
xtrv,1
zl,26
zgw,13
ŋdn,16
mfsw,1
psk,9
ssw,2
t͡ʃt͡ʃt,1
rr,9
mzm,3
ntr,26
ʃf,22
ʃfk,5
kkr,2
mzb,2
mʃp,3
dɣ,25
nts,1
ntsʃ,1
tsʃ,1
t͡ʃst,11
t͡ʃstr,2
ŋt͡ʃɲ,14
rɣ,10
vzm,4
xfr,1
zɣv,1
mdɣ,1
mdɣɲ,1
dɣɲ,1
fx,1
fxt͡ʃ,1
wt͡s,14
wm,28
t͡ʃʃ,41
ʒz,25
ʒzg,1
stn,13
ʒzz,1
sts,6
stsk,2
wʃk,1
wʃkl,1
ʃkl,2
ŋt͡ʃk,9
ŋgn,8
mkn,6
wr,5
zdv,16
bz,12
dwn,4
trɲ,1
mʃm,2
ʃw,25
nʃ,6
nʃm,1
ʃft,4
ɲt͡ʃt,2
ɲt͡ʃtf,1
t͡ʃtf,2
