cluster,length,occurences_pl,occurences_en,frequency_pl,frequency_en,total_frequency,relative_frequency
bb,2,30,7,0.001910,0.000495,0.002405,0.794276
bbr,3,4,5,0.000255,0.000353,0.000608,0.418840
bbʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
bbʒm,4,1,0,0.000064,0.000000,0.000064,1.000000
bd,2,38,16,0.002419,0.001131,0.003550,0.681485
bdb,3,0,1,0.000000,0.000071,0.000071,0.000000
bdd,3,1,0,0.000064,0.000000,0.000064,1.000000
bddʒ,4,1,0,0.000064,0.000000,0.000064,1.000000
bdf,3,0,1,0.000000,0.000071,0.000071,0.000000
bdfr,4,0,1,0.000000,0.000071,0.000071,0.000000
bdl,3,1,1,0.000064,0.000071,0.000134,0.473926
bds,3,0,1,0.000000,0.000071,0.000071,0.000000
bdv,3,3,0,0.000191,0.000000,0.000191,1.000000
bdz,3,1,0,0.000064,0.000000,0.000064,1.000000
bdzd,4,1,0,0.000064,0.000000,0.000064,1.000000
bdð,3,0,2,0.000000,0.000141,0.000141,0.000000
bd͡ʒ,2,4,21,0.000255,0.001484,0.001739,0.146463
bf,2,0,4,0.000000,0.000283,0.000283,0.000000
bfr,3,0,2,0.000000,0.000141,0.000141,0.000000
bg,2,11,0,0.000700,0.000000,0.000700,1.000000
bgd,3,1,0,0.000064,0.000000,0.000064,1.000000
bgr,3,5,0,0.000318,0.000000,0.000318,1.000000
bgw,3,1,0,0.000064,0.000000,0.000064,1.000000
bh,2,0,4,0.000000,0.000283,0.000283,0.000000
bj,2,80,65,0.005093,0.004594,0.009687,0.525789
bjj,3,1,0,0.000064,0.000000,0.000064,1.000000
bk,2,1,2,0.000064,0.000141,0.000205,0.310552
bkb,3,1,0,0.000064,0.000000,0.000064,1.000000
bkl,3,0,1,0.000000,0.000071,0.000071,0.000000
bl,2,763,555,0.048577,0.039223,0.087800,0.553272
blj,3,2,0,0.000127,0.000000,0.000127,1.000000
bls,3,0,3,0.000000,0.000212,0.000212,0.000000
blst,4,0,3,0.000000,0.000212,0.000212,0.000000
bm,2,28,12,0.001783,0.000848,0.002631,0.677631
bmw,3,1,0,0.000064,0.000000,0.000064,1.000000
bn,2,215,1,0.013688,0.000071,0.013759,0.994864
bp,2,0,1,0.000000,0.000071,0.000071,0.000000
br,2,1258,515,0.080092,0.036396,0.116487,0.687556
brk,3,1,0,0.000064,0.000000,0.000064,1.000000
brn,3,13,0,0.000828,0.000000,0.000828,1.000000
brv,3,1,0,0.000064,0.000000,0.000064,1.000000
brz,3,2,0,0.000127,0.000000,0.000127,1.000000
brɲ,3,1,0,0.000064,0.000000,0.000064,1.000000
bs,2,0,71,0.000000,0.005018,0.005018,0.000000
bsk,3,0,7,0.000000,0.000495,0.000495,0.000000
bskj,4,0,4,0.000000,0.000283,0.000283,0.000000
bskr,4,0,2,0.000000,0.000141,0.000141,0.000000
bst,3,0,16,0.000000,0.001131,0.001131,0.000000
bstr,4,0,1,0.000000,0.000071,0.000071,0.000000
bt,2,0,9,0.000000,0.000636,0.000636,0.000000
btr,3,0,1,0.000000,0.000071,0.000071,0.000000
bt͡ʃ,2,0,2,0.000000,0.000141,0.000141,0.000000
bv,2,63,5,0.004011,0.000353,0.004364,0.919035
bvb,3,1,0,0.000064,0.000000,0.000064,1.000000
bvd,3,2,0,0.000127,0.000000,0.000127,1.000000
bvdr,4,1,0,0.000064,0.000000,0.000064,1.000000
bvj,3,2,0,0.000127,0.000000,0.000127,1.000000
bvm,3,2,0,0.000127,0.000000,0.000127,1.000000
bvr,3,3,0,0.000191,0.000000,0.000191,1.000000
bvz,3,1,0,0.000064,0.000000,0.000064,1.000000
bvzr,4,1,0,0.000064,0.000000,0.000064,1.000000
bvʒ,3,2,0,0.000127,0.000000,0.000127,1.000000
bw,2,165,22,0.010505,0.001555,0.012060,0.871077
bwk,3,3,0,0.000191,0.000000,0.000191,1.000000
bz,2,51,71,0.003247,0.005018,0.008265,0.392874
bzd,3,7,2,0.000446,0.000141,0.000587,0.759213
bzdr,4,2,0,0.000127,0.000000,0.000127,1.000000
bzf,3,0,1,0.000000,0.000071,0.000071,0.000000
bzg,3,7,1,0.000446,0.000071,0.000516,0.863128
bzgr,4,2,1,0.000127,0.000071,0.000198,0.643080
bzh,3,0,1,0.000000,0.000071,0.000071,0.000000
bzk,3,0,1,0.000000,0.000071,0.000071,0.000000
bzl,3,0,2,0.000000,0.000141,0.000141,0.000000
bzm,3,3,4,0.000191,0.000283,0.000474,0.403218
bzmj,4,0,1,0.000000,0.000071,0.000071,0.000000
bzn,3,7,3,0.000446,0.000212,0.000658,0.677631
bzs,3,0,3,0.000000,0.000212,0.000212,0.000000
bzst,4,0,1,0.000000,0.000071,0.000071,0.000000
bzv,3,1,0,0.000064,0.000000,0.000064,1.000000
bzvr,4,1,0,0.000064,0.000000,0.000064,1.000000
bzw,3,0,2,0.000000,0.000141,0.000141,0.000000
bzð,3,0,1,0.000000,0.000071,0.000071,0.000000
bzɣ,3,1,0,0.000064,0.000000,0.000064,1.000000
bzʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
bð,2,0,9,0.000000,0.000636,0.000636,0.000000
bɣ,2,61,0,0.003884,0.000000,0.003884,1.000000
bɣj,3,1,0,0.000064,0.000000,0.000064,1.000000
bɣm,3,1,0,0.000064,0.000000,0.000064,1.000000
bɣn,3,9,0,0.000573,0.000000,0.000573,1.000000
bɣr,3,2,0,0.000127,0.000000,0.000127,1.000000
bɣv,3,1,0,0.000064,0.000000,0.000064,1.000000
bɣɲ,3,2,0,0.000127,0.000000,0.000127,1.000000
bɲ,2,141,0,0.008977,0.000000,0.008977,1.000000
bʃ,2,0,1,0.000000,0.000071,0.000071,0.000000
bʒ,2,293,0,0.018654,0.000000,0.018654,1.000000
bʒd,3,2,0,0.000127,0.000000,0.000127,1.000000
bʒm,3,31,0,0.001974,0.000000,0.001974,1.000000
bʒv,3,1,0,0.000064,0.000000,0.000064,1.000000
db,2,384,510,0.024448,0.036042,0.060490,0.404160
dbl,3,12,41,0.000764,0.002898,0.003662,0.208654
dbr,3,12,22,0.000764,0.001555,0.002319,0.329482
dbw,3,1,0,0.000064,0.000000,0.000064,1.000000
dbɣ,3,1,0,0.000064,0.000000,0.000064,1.000000
dbʒ,3,16,0,0.001019,0.000000,0.001019,1.000000
dbʒm,4,1,0,0.000064,0.000000,0.000064,1.000000
dd,2,390,200,0.024830,0.014134,0.038964,0.637248
ddb,3,1,0,0.000064,0.000000,0.000064,1.000000
ddbw,4,1,0,0.000064,0.000000,0.000064,1.000000
ddg,3,1,0,0.000064,0.000000,0.000064,1.000000
ddj,3,0,9,0.000000,0.000636,0.000636,0.000000
ddl,3,19,0,0.001210,0.000000,0.001210,1.000000
ddr,3,11,31,0.000700,0.002191,0.002891,0.242232
ddv,3,15,0,0.000955,0.000000,0.000955,1.000000
ddw,3,15,0,0.000955,0.000000,0.000955,1.000000
ddɲ,3,6,0,0.000382,0.000000,0.000382,1.000000
ddʒ,3,14,0,0.000891,0.000000,0.000891,1.000000
ddʒv,4,4,0,0.000255,0.000000,0.000255,1.000000
dd͡z,2,1,0,0.000064,0.000000,0.000064,1.000000
dd͡zv,3,1,0,0.000064,0.000000,0.000064,1.000000
dd͡ʒ,2,85,53,0.005412,0.003746,0.009157,0.590968
dd͡ʒv,3,2,0,0.000127,0.000000,0.000127,1.000000
df,2,0,336,0.000000,0.023746,0.023746,0.000000
dfj,3,0,3,0.000000,0.000212,0.000212,0.000000
dfl,3,0,14,0.000000,0.000989,0.000989,0.000000
dfr,3,0,60,0.000000,0.004240,0.004240,0.000000
dg,2,168,120,0.010696,0.008481,0.019176,0.557761
dgd,3,7,0,0.000446,0.000000,0.000446,1.000000
dgd͡ʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
dgl,3,1,9,0.000064,0.000636,0.000700,0.090989
dgm,3,5,0,0.000318,0.000000,0.000318,1.000000
dgr,3,32,26,0.002037,0.001837,0.003875,0.525789
dgv,3,1,0,0.000064,0.000000,0.000064,1.000000
dgw,3,39,0,0.002483,0.000000,0.002483,1.000000
dgʒ,3,4,0,0.000255,0.000000,0.000255,1.000000
dh,2,0,425,0.000000,0.030035,0.030035,0.000000
dhj,3,0,1,0.000000,0.000071,0.000071,0.000000
dj,2,208,433,0.013243,0.030601,0.043843,0.302042
dk,2,0,252,0.000000,0.017809,0.017809,0.000000
dkl,3,0,20,0.000000,0.001413,0.001413,0.000000
dkr,3,0,29,0.000000,0.002049,0.002049,0.000000
dkw,3,0,13,0.000000,0.000919,0.000919,0.000000
dl,2,1036,307,0.065958,0.021696,0.087654,0.752480
dls,3,0,1,0.000000,0.000071,0.000071,0.000000
dlt͡ʃ,3,1,0,0.000064,0.000000,0.000064,1.000000
dm,2,350,363,0.022283,0.025654,0.047937,0.464843
dmj,3,0,4,0.000000,0.000283,0.000283,0.000000
dmw,3,8,0,0.000509,0.000000,0.000509,1.000000
dn,2,1492,229,0.094989,0.016184,0.111173,0.854428
dnj,3,0,6,0.000000,0.000424,0.000424,0.000000
dp,2,0,230,0.000000,0.016254,0.016254,0.000000
dpj,3,0,1,0.000000,0.000071,0.000071,0.000000
dpl,3,0,43,0.000000,0.003039,0.003039,0.000000
dpr,3,0,50,0.000000,0.003534,0.003534,0.000000
dr,2,1206,736,0.076781,0.052014,0.128795,0.596148
drg,3,9,0,0.000573,0.000000,0.000573,1.000000
drgn,4,3,0,0.000191,0.000000,0.000191,1.000000
drn,3,2,0,0.000127,0.000000,0.000127,1.000000
drp,3,1,0,0.000064,0.000000,0.000064,1.000000
drt͡s,3,1,0,0.000064,0.000000,0.000064,1.000000
drv,3,5,0,0.000318,0.000000,0.000318,1.000000
drɲ,3,1,0,0.000064,0.000000,0.000064,1.000000
drʒ,3,17,0,0.001082,0.000000,0.001082,1.000000
drʒɲ,4,1,0,0.000064,0.000000,0.000064,1.000000
ds,2,0,505,0.000000,0.035689,0.035689,0.000000
dsb,3,0,2,0.000000,0.000141,0.000141,0.000000
dsh,3,0,1,0.000000,0.000071,0.000071,0.000000
dsk,3,0,26,0.000000,0.001837,0.001837,0.000000
dskr,4,0,4,0.000000,0.000283,0.000283,0.000000
dskw,4,0,2,0.000000,0.000141,0.000141,0.000000
dsl,3,0,9,0.000000,0.000636,0.000636,0.000000
dsm,3,0,14,0.000000,0.000989,0.000989,0.000000
dsn,3,0,4,0.000000,0.000283,0.000283,0.000000
dsp,3,0,33,0.000000,0.002332,0.002332,0.000000
dspl,4,0,1,0.000000,0.000071,0.000071,0.000000
dspr,4,0,5,0.000000,0.000353,0.000353,0.000000
dst,3,0,99,0.000000,0.006996,0.006996,0.000000
dstr,4,0,19,0.000000,0.001343,0.001343,0.000000
dsv,3,0,1,0.000000,0.000071,0.000071,0.000000
dsw,3,0,15,0.000000,0.001060,0.001060,0.000000
dt,2,0,713,0.000000,0.050389,0.050389,0.000000
dtj,3,0,1,0.000000,0.000071,0.000071,0.000000
dtr,3,0,45,0.000000,0.003180,0.003180,0.000000
dtw,3,0,6,0.000000,0.000424,0.000424,0.000000
dt͡ʃ,2,0,39,0.000000,0.002756,0.002756,0.000000
dv,2,1245,78,0.079264,0.005512,0.084776,0.934978
dvb,3,6,0,0.000382,0.000000,0.000382,1.000000
dvbr,4,1,0,0.000064,0.000000,0.000064,1.000000
dvbʒ,4,1,0,0.000064,0.000000,0.000064,1.000000
dvbʒm,5,1,0,0.000064,0.000000,0.000064,1.000000
dvd,3,16,0,0.001019,0.000000,0.001019,1.000000
dvdr,4,3,0,0.000191,0.000000,0.000191,1.000000
dvdv,4,2,0,0.000127,0.000000,0.000127,1.000000
dvd͡ʒ,3,3,0,0.000191,0.000000,0.000191,1.000000
dvg,3,3,0,0.000191,0.000000,0.000191,1.000000
dvgw,4,2,0,0.000127,0.000000,0.000127,1.000000
dvj,3,2,0,0.000127,0.000000,0.000127,1.000000
dvl,3,2,0,0.000127,0.000000,0.000127,1.000000
dvm,3,3,0,0.000191,0.000000,0.000191,1.000000
dvn,3,4,0,0.000255,0.000000,0.000255,1.000000
dvr,3,40,0,0.002547,0.000000,0.002547,1.000000
dvv,3,10,0,0.000637,0.000000,0.000637,1.000000
dvvr,4,1,0,0.000064,0.000000,0.000064,1.000000
dvw,3,20,0,0.001273,0.000000,0.001273,1.000000
dvz,3,35,0,0.002228,0.000000,0.002228,1.000000
dvzb,4,3,0,0.000191,0.000000,0.000191,1.000000
dvzg,4,18,0,0.001146,0.000000,0.001146,1.000000
dvzgl,5,17,0,0.001082,0.000000,0.001082,1.000000
dvzr,4,3,0,0.000191,0.000000,0.000191,1.000000
dvzɣ,4,1,0,0.000064,0.000000,0.000064,1.000000
dvzɲ,4,2,0,0.000127,0.000000,0.000127,1.000000
dvɣ,3,5,0,0.000318,0.000000,0.000318,1.000000
dvɣw,4,1,0,0.000064,0.000000,0.000064,1.000000
dvɲ,3,5,0,0.000318,0.000000,0.000318,1.000000
dvʒ,3,8,0,0.000509,0.000000,0.000509,1.000000
dvʒv,4,1,0,0.000064,0.000000,0.000064,1.000000
dw,2,754,595,0.048004,0.042049,0.090054,0.533061
dwb,3,6,0,0.000382,0.000000,0.000382,1.000000
dwd,3,29,0,0.001846,0.000000,0.001846,1.000000
dwd͡ʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
dwf,3,5,0,0.000318,0.000000,0.000318,1.000000
dwfk,4,1,0,0.000064,0.000000,0.000064,1.000000
dwfp,4,1,0,0.000064,0.000000,0.000064,1.000000
dwfr,4,1,0,0.000064,0.000000,0.000064,1.000000
dwft,4,1,0,0.000064,0.000000,0.000064,1.000000
dwfʃ,4,1,0,0.000064,0.000000,0.000064,1.000000
dwfʃr,5,1,0,0.000064,0.000000,0.000064,1.000000
dwj,3,3,0,0.000191,0.000000,0.000191,1.000000
dwk,3,3,0,0.000191,0.000000,0.000191,1.000000
dwm,3,2,0,0.000127,0.000000,0.000127,1.000000
dwn,3,20,0,0.001273,0.000000,0.001273,1.000000
dwp,3,10,0,0.000637,0.000000,0.000637,1.000000
dwpw,4,1,0,0.000064,0.000000,0.000064,1.000000
dwpʃ,4,2,0,0.000127,0.000000,0.000127,1.000000
dwr,3,1,0,0.000064,0.000000,0.000064,1.000000
dws,3,7,0,0.000446,0.000000,0.000446,1.000000
dwsk,4,2,0,0.000127,0.000000,0.000127,1.000000
dwsp,4,3,0,0.000191,0.000000,0.000191,1.000000
dwst,4,1,0,0.000064,0.000000,0.000064,1.000000
dwt,3,6,0,0.000382,0.000000,0.000382,1.000000
dwtr,4,1,0,0.000064,0.000000,0.000064,1.000000
dwtʃ,4,1,0,0.000064,0.000000,0.000064,1.000000
dwt͡s,3,1,0,0.000064,0.000000,0.000064,1.000000
dwt͡ʃ,3,5,0,0.000318,0.000000,0.000318,1.000000
dwv,3,7,0,0.000446,0.000000,0.000446,1.000000
dwvw,4,1,0,0.000064,0.000000,0.000064,1.000000
dwvz,4,1,0,0.000064,0.000000,0.000064,1.000000
dwz,3,13,0,0.000828,0.000000,0.000828,1.000000
dwzd,4,3,0,0.000191,0.000000,0.000191,1.000000
dwzdr,5,1,0,0.000064,0.000000,0.000064,1.000000
dwzd͡ʒ,4,1,0,0.000064,0.000000,0.000064,1.000000
dwzg,4,1,0,0.000064,0.000000,0.000064,1.000000
dwzn,4,1,0,0.000064,0.000000,0.000064,1.000000
dwzv,4,2,0,0.000127,0.000000,0.000127,1.000000
dwzz,4,1,0,0.000064,0.000000,0.000064,1.000000
dwɲ,3,1,0,0.000064,0.000000,0.000064,1.000000
dwʃ,3,7,0,0.000446,0.000000,0.000446,1.000000
dz,2,283,85,0.018017,0.006007,0.024025,0.749961
dzb,3,19,3,0.001210,0.000212,0.001422,0.850869
dzbl,4,0,1,0.000000,0.000071,0.000071,0.000000
dzbr,4,1,0,0.000064,0.000000,0.000064,1.000000
dzbw,4,1,0,0.000064,0.000000,0.000064,1.000000
dzd,3,12,2,0.000764,0.000141,0.000905,0.843878
dzd͡ʒ,3,4,1,0.000255,0.000071,0.000325,0.782773
dzf,3,0,7,0.000000,0.000495,0.000495,0.000000
dzfl,4,0,1,0.000000,0.000071,0.000071,0.000000
dzg,3,9,0,0.000573,0.000000,0.000573,1.000000
dzgr,4,1,0,0.000064,0.000000,0.000064,1.000000
dzgw,4,2,0,0.000127,0.000000,0.000127,1.000000
dzj,3,3,3,0.000191,0.000212,0.000403,0.473926
dzk,3,0,4,0.000000,0.000283,0.000283,0.000000
dzkw,4,0,1,0.000000,0.000071,0.000071,0.000000
dzl,3,2,3,0.000127,0.000212,0.000339,0.375227
dzm,3,10,5,0.000637,0.000353,0.000990,0.643080
dzmɲ,4,1,0,0.000064,0.000000,0.000064,1.000000
dzn,3,15,4,0.000955,0.000283,0.001238,0.771599
dzp,3,0,7,0.000000,0.000495,0.000495,0.000000
dzpl,4,0,6,0.000000,0.000424,0.000424,0.000000
dzr,3,3,0,0.000191,0.000000,0.000191,1.000000
dzs,3,0,7,0.000000,0.000495,0.000495,0.000000
dzsl,4,0,1,0.000000,0.000071,0.000071,0.000000
dzsm,4,0,1,0.000000,0.000071,0.000071,0.000000
dzst,4,0,2,0.000000,0.000141,0.000141,0.000000
dzt,3,0,5,0.000000,0.000353,0.000353,0.000000
dztr,4,0,1,0.000000,0.000071,0.000071,0.000000
dzt͡ʃ,3,0,1,0.000000,0.000071,0.000071,0.000000
dzv,3,16,0,0.001019,0.000000,0.001019,1.000000
dzvm,4,1,0,0.000064,0.000000,0.000064,1.000000
dzvr,4,1,0,0.000064,0.000000,0.000064,1.000000
dzvw,4,1,0,0.000064,0.000000,0.000064,1.000000
dzw,3,12,8,0.000764,0.000565,0.001329,0.574705
dzz,3,3,0,0.000191,0.000000,0.000191,1.000000
dzzɣ,4,2,0,0.000127,0.000000,0.000127,1.000000
dzð,3,0,6,0.000000,0.000424,0.000424,0.000000
dzɣ,3,7,0,0.000446,0.000000,0.000446,1.000000
dzɲ,3,8,0,0.000509,0.000000,0.000509,1.000000
dzʒ,3,2,0,0.000127,0.000000,0.000127,1.000000
dzθ,3,0,1,0.000000,0.000071,0.000071,0.000000
dð,2,0,898,0.000000,0.063463,0.063463,0.000000
dɣ,2,147,0,0.009359,0.000000,0.009359,1.000000
dɣb,3,1,0,0.000064,0.000000,0.000064,1.000000
dɣd,3,1,0,0.000064,0.000000,0.000064,1.000000
dɣl,3,3,0,0.000191,0.000000,0.000191,1.000000
dɣm,3,3,0,0.000191,0.000000,0.000191,1.000000
dɣn,3,13,0,0.000828,0.000000,0.000828,1.000000
dɣr,3,5,0,0.000318,0.000000,0.000318,1.000000
dɣv,3,10,0,0.000637,0.000000,0.000637,1.000000
dɣz,3,4,0,0.000255,0.000000,0.000255,1.000000
dɣzɣ,4,1,0,0.000064,0.000000,0.000064,1.000000
dɣɲ,3,6,0,0.000382,0.000000,0.000382,1.000000
dɣʒ,3,2,0,0.000127,0.000000,0.000127,1.000000
dɲ,2,1383,0,0.088050,0.000000,0.088050,1.000000
dʃ,2,0,95,0.000000,0.006714,0.006714,0.000000
